,REF,Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken,Spearman,Pearson
0,amphoriskos_vox10.ply,AdaBoostRegressor,1.5355383838530585,0.6429744107646276,0.7167121311390088,0.09420204162597656,0.8984979553995862,0.8698022882639173
1,amphoriskos_vox10.ply,BaggingRegressor,1.5202280982453018,0.6531812678364655,0.7063929501346966,0.039893388748168945,0.8353213392460688,0.850220463554082
2,amphoriskos_vox10.ply,BayesianRidge,1.6331655862146146,0.5778896091902569,0.7793061519991811,0.010951757431030273,0.7860716241730625,0.7735721565257526
3,amphoriskos_vox10.ply,DecisionTreeRegressor,2.0939582948165305,0.27069447012231296,1.02435345462394,0.013164281845092773,0.6234699426981031,0.7370783502753688
4,amphoriskos_vox10.ply,DummyRegressor,3.1251486643439272,-0.4167657762292849,1.4277235127300745,0.007988452911376953,,
5,amphoriskos_vox10.ply,ElasticNet,2.3344423058039405,0.11037179613070647,1.1313561828037215,0.008965253829956055,0.8367507071821697,0.8073394117349588
6,amphoriskos_vox10.ply,ElasticNetCV,1.5567120631086353,0.6288586245942431,0.730743177954498,0.1586000919342041,0.8091574281135342,0.8504466270949358
7,amphoriskos_vox10.ply,ExtraTreeRegressor,1.4937564551845126,0.6708290298769917,0.6881860213634101,0.0074977874755859375,0.9123426066790292,0.8870564247741685
8,amphoriskos_vox10.ply,ExtraTreesRegressor,1.4576319724680733,0.6949120183546178,0.662533180301183,0.1515064239501953,0.8649481209696742,0.870511812466397
9,amphoriskos_vox10.ply,GammaRegressor,1.6936706663200545,0.5375528891199637,0.8156918412810233,0.008179903030395508,0.8557137993934855,0.8218041322343138
10,amphoriskos_vox10.ply,GaussianProcessRegressor,5.500772026902749,-2.0005146846018325,2.077748423343365,0.011910676956176758,0.6317815011709097,0.6849343273423129
11,amphoriskos_vox10.ply,GradientBoostingRegressor,1.586273977361087,0.6091506817592753,0.7498937992862285,0.1870269775390625,0.8911120321022089,0.8700316236559725
12,amphoriskos_vox10.ply,HistGradientBoostingRegressor,1.5339406510985616,0.6440395659342923,0.7156422080054962,0.07510972023010254,0.8666538547970378,0.8667859181849779
13,amphoriskos_vox10.ply,HuberRegressor,1.722392285829005,0.5184051427806633,0.832407536211702,0.02410602569580078,0.7552905522524335,0.7331715814871634
14,amphoriskos_vox10.ply,KNeighborsRegressor,1.48799735328747,0.6746684311416866,0.6841607998124417,0.006533145904541016,0.8610674680949651,0.8647243091526264
15,amphoriskos_vox10.ply,KernelRidge,9.677644711345836,-4.785096474230557,2.885030348859922,0.014611482620239258,0.8022316869313928,0.8300560208115545
16,amphoriskos_vox10.ply,LGBMRegressor,1.6463825444385065,0.5690783037076623,0.787397920550811,0.07696247100830078,0.8845043474745623,0.8712626696197582
17,amphoriskos_vox10.ply,Lars,2.4249847797201676e+156,-1.616656519813445e+156,1.525119809846397e+78,0.0638127326965332,0.36514046565846126,0.21579522083083752
18,amphoriskos_vox10.ply,LarsCV,2.1011339981233887,0.26591066791774076,1.0277075323080314,0.04213428497314453,0.8291651248619429,0.807219604578754
19,amphoriskos_vox10.ply,Lasso,3.095818737838841,-0.3972124918925606,1.4178370245237255,0.006836891174316406,0.7110926635543491,0.7554905669273717
20,amphoriskos_vox10.ply,LassoCV,1.5513355305323429,0.6324429796451048,0.7272059845380338,0.19541716575622559,0.8153136424976599,0.8513022461131103
21,amphoriskos_vox10.ply,LassoLars,3.095818737838841,-0.3972124918925606,1.4178370245237255,0.006458759307861328,0.7110926635543491,0.7554905669273717
22,amphoriskos_vox10.ply,LassoLarsCV,1.5517310146373144,0.6321793235751237,0.7274667575478027,0.05818533897399902,0.8153136424976599,0.8513817136380795
23,amphoriskos_vox10.ply,LassoLarsIC,2.014157434116303,0.3238950439224646,0.986284352119535,0.018757343292236328,0.6429396397421377,0.6145701747824514
24,amphoriskos_vox10.ply,LinearRegression,2.250763034691013,0.166157976872658,1.0953097973846637,0.009185314178466797,0.6025394828463122,0.5327639094326264
25,amphoriskos_vox10.ply,LinearSVR,1.582792064233555,0.6114719571776301,0.7476636530281311,0.021297454833984375,0.7914583117591726,0.7978646781650809
26,amphoriskos_vox10.ply,MLPRegressor,1.199184585925511,0.8672102760496593,0.4370964881683858,0.19789338111877441,0.9349750595891052,0.9345377723762682
27,amphoriskos_vox10.ply,NuSVR,1.2693667862247233,0.8204221425168511,0.508301599151134,0.012807369232177734,0.9115044922496256,0.9111691263119088
28,amphoriskos_vox10.ply,OrthogonalMatchingPursuit,1.7974983180340258,0.4683344546439828,0.8746098044440705,0.00874781608581543,0.7914583117591726,0.8170572728724254
29,amphoriskos_vox10.ply,OrthogonalMatchingPursuitCV,1.7974983180340258,0.4683344546439828,0.8746098044440705,0.01298666000366211,0.7914583117591726,0.8170572728724254
30,amphoriskos_vox10.ply,PassiveAggressiveRegressor,1.5650224603578826,0.6233183597614116,0.7361771096682596,0.009358406066894531,0.7941516555522277,0.8384690549276805
31,amphoriskos_vox10.ply,PoissonRegressor,1.6208516016054433,0.5860989322630379,0.7716908601400161,0.012302398681640625,0.8480185314133283,0.841950519518526
32,amphoriskos_vox10.ply,RANSACRegressor,3.5335614783787235,-0.6890409855858157,1.558888944943597,0.09029984474182129,0.455175101026301,0.41818313420784436
33,amphoriskos_vox10.ply,RandomForestRegressor,1.4004196347773021,0.733053576815132,0.6197365871884601,0.3080897331237793,0.9199692870277986,0.9021262915299606
